iter	Passed	Remaining
482	665	712
483	666	710
484	668	709
485	669	707
486	670	706
487	672	705
488	673	703
489	674	702
490	675	700
491	677	699
492	678	697
493	679	696
494	681	694
495	682	693
496	683	691
497	685	690
498	686	689
499	687	687
500	689	686
501	690	684
502	691	683
503	692	681
504	694	680
505	695	678
506	696	677
507	698	676
508	699	674
509	700	673
510	701	671
511	703	670
512	704	668
513	705	667
514	707	666
515	708	664
516	709	663
517	710	661
518	712	660
519	713	658
520	714	657
521	716	655
522	717	654
523	718	652
524	719	651
525	721	649
526	722	648
527	723	646
528	725	645
529	726	644
530	727	642
531	729	641
532	730	639
533	731	638
534	732	637
535	734	635
536	735	634
537	736	632
538	737	631
539	739	629
540	740	628
541	741	626
542	743	625
543	744	623
544	745	622
545	747	621
546	748	619
547	749	618
548	751	617
549	752	615
550	753	614
551	755	612
552	756	611
553	757	609
554	758	608
555	760	607
556	761	605
557	762	604
558	764	602
559	765	601
560	766	600
561	767	598
562	769	597
563	770	595
564	771	594
565	773	592
566	774	591
567	775	589
568	777	588
569	778	587
570	779	585
571	780	584
572	782	582
573	783	581
574	784	580
575	786	578
576	787	577
577	788	575
578	790	574
579	791	573
580	792	571
581	794	570
582	795	568
583	796	567
584	798	566
585	799	564
586	800	563
587	801	561
588	803	560
589	804	558
590	805	557
591	806	556
592	808	554
593	809	553
594	811	552
595	812	550
596	813	549
597	815	547
598	816	546
599	817	545
600	819	543
601	820	542
602	821	540
603	822	539
604	824	538
605	825	536
606	826	535
607	828	533
608	829	532
609	830	531
610	832	529
611	833	528
612	834	526
613	835	525
614	837	524
615	838	522
616	839	521
617	841	520
618	842	518
619	843	517
620	845	515
621	846	514
622	847	513
623	849	511
624	850	510
625	851	508
626	853	507
627	854	506
628	855	504
629	857	503
630	858	502
631	859	500
632	861	499
633	862	497
634	863	496
635	864	495
636	866	493
637	867	492
638	868	490
639	869	489
640	871	488
641	872	486
642	874	485
643	875	483
644	876	482
645	877	481
646	879	479
647	880	478
648	881	476
649	882	475
650	884	474
651	885	472
652	886	471
653	888	469
654	889	468
655	890	467
656	892	465
657	893	464
658	894	462
659	895	461
660	897	460
661	898	458
662	899	457
663	900	455
664	902	454
665	903	453
666	904	451
667	905	450
668	907	448
669	908	447
670	909	446
671	911	444
672	912	443
673	913	441
674	914	440
675	916	439
676	917	437
677	918	436
678	920	434
679	921	433
680	922	432
681	923	430
682	925	429
683	926	428
684	927	426
685	929	425
686	930	423
687	932	422
688	933	421
689	934	419
690	935	418
691	937	417
692	938	415
693	939	414
694	940	412
695	942	411
696	943	410
697	944	408
698	945	407
699	947	405
700	948	404
701	949	403
702	951	401
703	952	400
704	953	399
705	955	397
706	956	396
707	957	395
708	959	393
709	960	392
710	961	390
711	963	389
712	964	388
713	965	386
714	966	385
715	968	384
716	969	382
717	970	381
718	972	379
719	973	378
720	974	377
721	975	375
722	977	374
723	978	373
724	979	371
725	981	370
726	982	368
727	983	367
728	984	366
729	986	364
730	987	363
731	988	362
732	990	360
733	991	359
734	992	357
735	994	356
736	995	355
737	996	353
738	997	352
739	999	351
740	1000	349
741	1001	348
742	1003	346
743	1004	345
744	1005	344
745	1007	342
746	1008	341
747	1010	340
748	1011	338
749	1012	337
750	1013	336
751	1015	334
752	1017	333
753	1018	332
754	1020	331
755	1021	329
756	1023	328
757	1024	327
758	1025	325
759	1026	324
760	1028	322
761	1029	321
762	1031	320
763	1032	318
764	1033	317
765	1035	316
766	1036	314
767	1037	313
768	1039	312
769	1040	310
770	1041	309
771	1042	308
772	1044	306
773	1045	305
774	1046	303
775	1048	302
776	1049	301
777	1050	299
778	1052	298
779	1053	297
780	1054	295
781	1055	294
782	1057	292
783	1058	291
784	1059	290
785	1061	288
786	1062	287
787	1063	286
788	1065	284
789	1066	283
790	1067	282
791	1068	280
792	1070	279
793	1071	277
794	1072	276
795	1074	275
796	1075	273
797	1076	272
798	1077	271
799	1079	269
800	1080	268
801	1081	267
802	1083	265
803	1084	264
804	1086	263
805	1087	261
806	1088	260
807	1089	258
808	1091	257
809	1092	256
810	1093	254
811	1095	253
812	1096	252
813	1097	250
814	1099	249
815	1100	248
816	1101	246
